file_name,score
10899.pkl,-0.2903885543346405
4596.pkl,0.737051248550415
9043.pkl,0.9852184653282166
3328.pkl,0.22010715305805206
1739.pkl,0.26236820220947266
3158.pkl,-0.600712776184082
10679.pkl,-0.10098858177661896
575.pkl,0.5769655704498291
9119.pkl,1.0888776779174805
2153.pkl,0.023192493245005608
10832.pkl,2.0825116634368896
7356.pkl,3.016953706741333
2739.pkl,0.916913628578186
9611.pkl,-1.2173521518707275
874.pkl,-0.28153398633003235
4079.pkl,-0.251737505197525
7729.pkl,0.47485458850860596
745.pkl,0.360621839761734
2045.pkl,-0.07872769236564636
9601.pkl,3.05098557472229
422.pkl,0.3844679594039917
4374.pkl,3.028217077255249
8644.pkl,0.6793606877326965
10815.pkl,3.027163028717041
8480.pkl,0.3880804181098938
1254.pkl,1.014923095703125
649.pkl,0.41069355607032776
549.pkl,-0.2360203117132187
2038.pkl,-1.388783574104309
1991.pkl,0.6959536075592041
8391.pkl,0.4707562327384949
5159.pkl,-0.7253685593605042
61.pkl,-1.3158620595932007
162.pkl,-0.5540258288383484
6418.pkl,2.3600540161132812
3103.pkl,-0.32993465662002563
6926.pkl,2.8690459728240967
3086.pkl,0.4260598123073578
2418.pkl,2.4369029998779297
7443.pkl,0.38027599453926086
11094.pkl,-0.15209729969501495
9249.pkl,-0.16143447160720825
10637.pkl,-0.15727046132087708
4985.pkl,-0.16037169098854065
1924.pkl,1.3164349794387817
463.pkl,-0.5227341055870056
3725.pkl,0.045444466173648834
7142.pkl,2.4446916580200195
510.pkl,-0.22147364914417267
3286.pkl,-0.1802598237991333
4264.pkl,-1.4185411930084229
1614.pkl,0.45817330479621887
8065.pkl,-0.3572918772697449
9358.pkl,1.522487998008728
5696.pkl,1.2724887132644653
2988.pkl,-0.8527814149856567
2785.pkl,2.7714626789093018
3673.pkl,0.21238429844379425
783.pkl,-0.22536304593086243
4007.pkl,-0.2707655131816864
1756.pkl,-0.2301260530948639
3118.pkl,-0.66774582862854
7487.pkl,-0.008039429783821106
5648.pkl,-0.0909988060593605
10136.pkl,0.03662214055657387
2065.pkl,0.03705436363816261
7474.pkl,0.38241544365882874
10113.pkl,2.6607398986816406
5965.pkl,0.7296701669692993
7124.pkl,0.3445943295955658
6355.pkl,-0.4496033489704132
